=== DANH SACH 455 XA CHUA MATCH (FINAL) ===
TINH/THANH           | QUAN/HUYEN           | XA (Cafeland)                            | ID
----------------------------------------------------------------------------------------------------
Bà Rịa - Vũng Tàu    | Long Điền            | Cát Bà                                   | 1917
Bà Rịa - Vũng Tàu    | Long Điền            | Đồng Bài                                 | 1918
Bà Rịa - Vũng Tàu    | Long Điền            | Gia Luận                                 | 1919
Bà Rịa - Vũng Tàu    | Long Điền            | Hiền Hào                                 | 1920
Bà Rịa - Vũng Tàu    | Long Điền            | Hoàng Châu                               | 1921
Bà Rịa - Vũng Tàu    | Long Điền            | Nghĩa Lộ                                 | 1922
Bà Rịa - Vũng Tàu    | Long Điền            | Phù Long                                 | 1923
Bà Rịa - Vũng Tàu    | Long Điền            | Trân Châu                                | 1925
Bà Rịa - Vũng Tàu    | Long Điền            | Văn Phong                                | 1926
Bà Rịa - Vũng Tàu    | Long Điền            | Việt Hải                                 | 1927
Bà Rịa - Vũng Tàu    | Long Điền            | Xuân Đám                                 | 1928
Bà Rịa - Vũng Tàu    | Vũng Tàu             | Phường 6                                 | 1897
Bắc Giang            | Lục Ngạn             | Sa Lý                                    | 2486
Bắc Giang            | Việt Yên             | Trung Hà                                 | 2556
Bắc Kạn              | Chợ Mới              | TT. Đồng Tâm                             | 21089
Bạc Liêu             | Đông Hải             | Một Ngàn                                 | 2348
Bạc Liêu             | Đông Hải             | Nhơn Nghĩa A                             | 2349
Bạc Liêu             | Đông Hải             | Tân Hòa                                  | 2350
Bạc Liêu             | Đông Hải             | Tân Phú Thạnh                            | 2351
Bạc Liêu             | Đông Hải             | Tân Thuận                                | 2352
Bạc Liêu             | Đông Hải             | Thạnh Xuân                               | 2353
Bạc Liêu             | Đông Hải             | Trường Long A                            | 2354
Bạc Liêu             | Đông Hải             | Trường Long Tây                          | 2355
Bạc Liêu             | Giá Rai              | Khóm 2                                   | 21509
Bạc Liêu             | Hoà Bình             | Long Bình                                | 2356
Bạc Liêu             | Hoà Bình             | Long Phú                                 | 2357
Bạc Liêu             | Hoà Bình             | Long Trị                                 | 2358
Bạc Liêu             | Hoà Bình             | Thuận Hưng                               | 2361
Bạc Liêu             | Phước Long           | Đông Phú                                 | 2334
Bạc Liêu             | Phước Long           | Đông Phước                               | 2335
Bạc Liêu             | Phước Long           | Đông Phước A                             | 2336
Bạc Liêu             | Phước Long           | Đông Thạnh                               | 2337
Bạc Liêu             | Phước Long           | Ngã Sáu                                  | 2339
Bạc Liêu             | Phước Long           | Phú An                                   | 2342
Bạc Liêu             | Phước Long           | Phú Hữu                                  | 2343
Bạc Liêu             | Phước Long           | Phú Hữu A                                | 2344
Bắc Ninh             | Gia Bình             | Đông Bình                                | 2752
Bắc Ninh             | Từ Sơn               | Đồng Quang                               | 2835
Bến Tre              | Ba Tri               | TT. Tiệm Tôm                             | 20674
Bến Tre              | Bến Tre              | An Hội                                   | 20672
Bến Tre              | Giồng Trôm           | Tân Thạch Lợi                            | 2971
Bến Tre              | Mỏ Cày Bắc           | Đường Quốc Lộ 60 (Mới)                   | 21543
Bình Dương           | Bàu Bàng             | phường bầu bàng                          | 21548
Bình Dương           | Bến Cát              | Bến Thành                                | 1255
Bình Dương           | Bến Cát              | Cầu Kho                                  | 1256
Bình Dương           | Bến Cát              | Cầu Ông Lãnh                             | 1257
Bình Dương           | Bến Cát              | Cô Giang                                 | 1260
Bình Dương           | Bến Cát              | Đa Kao                                   | 1261
Bình Dương           | Bến Cát              | Nguyễn Cư Trinh                          | 1268
Bình Dương           | Bến Cát              | Nguyễn Thái Bình                         | 1269
Bình Dương           | Bến Cát              | Phạm Ngũ Lão                             | 1270
Bình Dương           | Phú Giáo             | Cát Bi                                   | 1340
Bình Dương           | Phú Giáo             | Đằng Hải                                 | 1341
Bình Dương           | Phú Giáo             | Đằng Lâm                                 | 1342
Bình Dương           | Phú Giáo             | Đông Hải 1                               | 1343
Bình Dương           | Phú Giáo             | Đông Hải 2                               | 1344
Bình Dương           | Phú Giáo             | Nam Hải                                  | 1345
Bình Dương           | Phú Giáo             | Thành Tô                                 | 1352
Bình Dương           | Phú Giáo             | Tràng Cát                                | 1353
Bình Dương           | Thuận An             | Số 8 Hữu Nghị                            | 21522
Bình Định            | Hoài Ân              | ĐakMang                                  | 2178
Bình Định            | Tây Sơn              | Bình Hiệp                                | 2254
Bình Phước           | Chơn Thành           | Hưng Long                                | 2959
Cà Mau               | Cà Mau               | Đường số 7 đối diện vincom cà mau        | 21535
Cà Mau               | Năm Căn              | Bình Thành                               | 3219
Cà Mau               | Năm Căn              | Cây Dương                                | 3220
Cà Mau               | Năm Căn              | Hòa An                                   | 3226
Cà Mau               | Năm Căn              | Kim Cùng                                 | 3228
Cà Mau               | Năm Căn              | Phụng Hiệp                               | 3231
Cà Mau               | Năm Căn              | Phương Bình                              | 3232
