=== UNMATCHED WARDS REPORT (Total: 1030) ===

PROVINCE             | DISTRICT             | WARD (Not Found)               | ID
--------------------------------------------------------------------------------
An Giang             | An Phú               | TT. An Phú                     | 20565
An Giang             | Chợ Mới              | TT Chợ Mới                     | 20566
An Giang             | Tri Tôn              | TT. Tri Tôn                    | 20568
Bà Rịa - Vũng Tàu    | Long Điền            | Cát Bà                         | 1917
Bà Rịa - Vũng Tàu    | Long Điền            | Đồng Bài                       | 1918
Bà Rịa - Vũng Tàu    | Long Điền            | Gia Luận                       | 1919
Bà Rịa - Vũng Tàu    | Long Điền            | Hiền Hào                       | 1920
Bà Rịa - Vũng Tàu    | Long Điền            | Hoàng Châu                     | 1921
Bà Rịa - Vũng Tàu    | Long Điền            | Nghĩa Lộ                       | 1922
Bà Rịa - Vũng Tàu    | Long Điền            | Phù Long                       | 1923
Bà Rịa - Vũng Tàu    | Long Điền            | Trân Châu                      | 1925
Bà Rịa - Vũng Tàu    | Long Điền            | Văn Phong                      | 1926
Bà Rịa - Vũng Tàu    | Long Điền            | Việt Hải                       | 1927
Bà Rịa - Vũng Tàu    | Long Điền            | Xuân Đám                       | 1928
Bà Rịa - Vũng Tàu    | Vũng Tàu             | Phường 6                       | 1897
Bắc Giang            | Bắc Giang            | Dĩnh Trì Thành phố Bắc Giang   | 21545
Bắc Giang            | Lạng Giang           | Dĩnh Tri                       | 2421
Bắc Giang            | Lục Ngạn             | Sa Lý                          | 2486
Bắc Giang            | Việt Yên             | Trung Hà                       | 2556
Bắc Kạn              | Chợ Mới              | TT. Đồng Tâm                   | 21089
Bắc Kạn              | Ngân Sơn             | TT. Nà Phặc                    | 21091
Bạc Liêu             | Đông Hải             | Một Ngàn                       | 2348
Bạc Liêu             | Đông Hải             | Nhơn Nghĩa A                   | 2349
Bạc Liêu             | Đông Hải             | Tân Hòa                        | 2350
Bạc Liêu             | Đông Hải             | Tân Phú Thạnh                  | 2351
Bạc Liêu             | Đông Hải             | Tân Thuận                      | 2352
Bạc Liêu             | Đông Hải             | Thạnh Xuân                     | 2353
Bạc Liêu             | Đông Hải             | Trường Long A                  | 2354
Bạc Liêu             | Đông Hải             | Trường Long Tây                | 2355
Bạc Liêu             | Giá Rai              | Khóm 2                         | 21509
Bạc Liêu             | Hoà Bình             | Long Bình                      | 2356
Bạc Liêu             | Hoà Bình             | Long Phú                       | 2357
Bạc Liêu             | Hoà Bình             | Long Trị                       | 2358
Bạc Liêu             | Hoà Bình             | Thuận Hưng                     | 2361
Bạc Liêu             | Hoà Bình             | TT. Hòa Bình                   | 20652
Bạc Liêu             | Phước Long           | Đông Phú                       | 2334
Bạc Liêu             | Phước Long           | Đông Phước                     | 2335
Bạc Liêu             | Phước Long           | Đông Phước A                   | 2336
