ward_id	ward_name	count
203	An Đông	2617
362	An Hội Đông	6760
358	An Hội Tây	13576
158	An Khánh	31647
338	An Lạc	13146
1338	An Long	279
352	An Nhơn	9511
450	An Nhơn Tây	457
1326	An Phú	2483
304	An Phú Đông	7499
476	An Thới Đông	122
483	Bà Điểm	3975
1876	Bà Rịa	136
1305	Bắc Tân Uyên	76
169	Bàn Cờ	8449
20081	Bàu Bàng	922
1904	Bàu Lâm	53
385	Bảy Hiền	14261
1273	Bến Cát	744
149	Bến Thành	11970
20349	Bình Chánh	1145
1905	Bình Châu	36
1294	Bình Cơ	283
1322	Bình Dương	2414
249	Bình Đông	8139
7858	Bình Giã	70
1330	Bình Hòa	2917
436	Bình Hưng	5283
339	Bình Hưng Hòa	18662
477	Bình Khánh	220
437	Bình Lợi	657
395	Bình Lợi Trung	20510
452	Bình Mỹ	1042
222	Bình Phú	8234
417	Bình Quới	1333
341	Bình Tân	11889
215	Bình Tây	1154
402	Bình Thạnh	13640
290	Bình Thới	2645
214	Bình Tiên	1498
342	Bình Trị Đông	6946
163	Bình Trưng	7123
478	Cần Giờ	531
165	Cát Lái	6522
419	Cầu Kiệu	13363
154	Cầu Ông Lãnh	9890
1313	Chánh Hiệp	1032
247	Chánh Hưng	9514
1259	Chánh Phú Hòa	675
7860	Châu Đức	19
1877	Châu Pha	192
209	Chợ Lớn	2235
199	Chợ Quán	4081
107	Côn Đảo	2
462	Củ Chi	1805
20463	Dầu Tiếng	219
1293	Dĩ An	7498
278	Diên Hồng	8847
1936	Đất Đỏ	520
1290	Đông Hòa	5491
305	Đông Hưng Thuận	8354
502	Đông Thạnh	2862
422	Đức Nhuận	11047
391	Gia Định	13157
356	Gò Vấp	9111
347	Hạnh Thông	6495
328	Hiệp Bình	10891
470	Hiệp Phước	2361
1912	Hồ Tràm	245
292	Hòa Bình	2718
1909	Hòa Hiệp	17
1910	Hòa Hội	72
284	Hòa Hưng	14742
1262	Hòa Lợi	288
20351	Hóc Môn	1974
439	Hưng Long	625
190	Khánh Hội	3969
7869	Kim Long	103
1333	Lái Thiêu	2717
334	Linh Xuân	7023
261	Long Bình	8099
20064	Long Điền	254
20069	Long Hải	156
1280	Long Hòa	226
1870	Long Hương	70
20078	Long Nguyên	375
262	Long Phước	2561
1887	Long Sơn	47
264	Long Trường	7796
288	Minh Phụng	1524
1282	Minh Thạnh	45
7871	Ngãi Giao	133
20085	Nghĩa Thành	170
20352	Nhà Bè	11197
177	Nhiêu Lộc	10684
454	Nhuận Đức	556
1271	Phú An	229
257	Phú Định	1814
1348	Phú Giáo	139
456	Phú Hòa Đông	724
224	Phú Lâm	5077
1321	Phú Lợi	2033
1880	Phú Mỹ	734
426	Phú Nhuận	10756
367	Phú Thạnh	10736
298	Phú Thọ	2252
368	Phú Thọ Hòa	15386
236	Phú Thuận	14742
1933	Phước Hải	245
1346	Phước Hòa	754
267	Phước Long	8556
1902	Phước Thắng	394
1339	Phước Thành	357
1889	Rạch Dừa	852
146	Sài Gòn	13531
335	Tam Bình	4228
20056	Tam Long	457
1898	Tam Thắng	1137
461	Tân An Hội	835
388	Tân Bình	15098
157	Tân Định	7769
1307	Tân Đông Hiệp	237
1883	Tân Hải	61
20460	Tân Hiệp	527
381	Tân Hòa	4635
237	Tân Hưng	32927
1304	Tân Khánh	517
240	Tân Mỹ	15816
445	Tân Nhựt	3354
369	Tân Phú	8069
1885	Tân Phước	58
390	Tân Sơn	8525
376	Tân Sơn Hòa	16178
379	Tân Sơn Nhất	10750
372	Tân Sơn Nhì	5316
21525	Tân Tạo	37
1878	Tân Thành	289
309	Tân Thới Hiệp	6092
242	Tân Thuận	14353
20071	Tân Uyên	255
449	Tân Vĩnh Lộc	1715
270	Tăng Nhơn Phú	9262
1254	Tây Nam	118
375	Tây Thạnh	7112
466	Thái Mỹ	879
482	Thạnh An	3
1285	Thanh An	18
415	Thạnh Mỹ Tây	21409
313	Thới An	7844
1274	Thới Hòa	1459
354	Thông Tây Hội	9320
1319	Thủ Dầu Một	1132
327	Thủ Đức	7037
1332	Thuận An	931
1334	Thuận Giao	1602
1310	Thường Tân	18
20068	Trừ Văn Thố	93
314	Trung Mỹ Tây	6201
183	Vĩnh Hội	3302
448	Vĩnh Lộc	1152
1312	Vĩnh Tân	790
1892	Vũng Tàu	1458
282	Vườn Lài	5874
195	Xóm Chiếu	3382
20266	Xuân Hòa	11470
7885	Xuân Sơn	56
492	Xuân Thới Sơn	2102
1916	Xuyên Mộc	130
