ward_id	ward_name	count
107	Côn Đảo	2
482	Thạnh An	3
1909	Hòa Hiệp	17
1285	Thanh An	18
1310	Thường Tân	18
7860	Châu Đức	19
1905	Bình Châu	36
21525	Tân Tạo	37
1282	Minh Thạnh	45
1887	Long Sơn	47
1904	Bàu Lâm	53
7885	Xuân Sơn	56
1885	Tân Phước	58
1883	Tân Hải	61
7858	Bình Giã	70
1870	Long Hương	70
1910	Hòa Hội	72
1305	Bắc Tân Uyên	76
20068	Trừ Văn Thố	93
7869	Kim Long	103
1254	Tây Nam	118
476	An Thới Đông	122
1916	Xuyên Mộc	130
7871	Ngãi Giao	133
1876	Bà Rịa	136
1348	Phú Giáo	139
20069	Long Hải	156
20085	Nghĩa Thành	170
1877	Châu Pha	192
20463	Dầu Tiếng	219
477	Bình Khánh	220
1280	Long Hòa	226
1271	Phú An	229
1307	Tân Đông Hiệp	237
1912	Hồ Tràm	245
1933	Phước Hải	245
20064	Long Điền	254
20071	Tân Uyên	255
1338	An Long	279
1294	Bình Cơ	283
1262	Hòa Lợi	288
1878	Tân Thành	289
1339	Phước Thành	357
20078	Long Nguyên	375
1902	Phước Thắng	394
450	An Nhơn Tây	457
20056	Tam Long	457
1304	Tân Khánh	517
1936	Đất Đỏ	520
20460	Tân Hiệp	527
478	Cần Giờ	531
454	Nhuận Đức	556
439	Hưng Long	625
437	Bình Lợi	657
1259	Chánh Phú Hòa	675
456	Phú Hòa Đông	724
1880	Phú Mỹ	734
1273	Bến Cát	744
1346	Phước Hòa	754
1312	Vĩnh Tân	790
461	Tân An Hội	835
1889	Rạch Dừa	852
466	Thái Mỹ	879
20081	Bàu Bàng	922
1332	Thuận An	931
1313	Chánh Hiệp	1032
452	Bình Mỹ	1042
1319	Thủ Dầu Một	1132
1898	Tam Thắng	1137
20349	Bình Chánh	1145
448	Vĩnh Lộc	1152
215	Bình Tây	1154
417	Bình Quới	1333
1892	Vũng Tàu	1458
1274	Thới Hòa	1459
214	Bình Tiên	1498
288	Minh Phụng	1524
1334	Thuận Giao	1602
449	Tân Vĩnh Lộc	1715
462	Củ Chi	1805
257	Phú Định	1814
20351	Hóc Môn	1974
1321	Phú Lợi	2033
492	Xuân Thới Sơn	2102
209	Chợ Lớn	2235
298	Phú Thọ	2252
470	Hiệp Phước	2361
1322	Bình Dương	2414
1326	An Phú	2483
262	Long Phước	2561
203	An Đông	2617
290	Bình Thới	2645
1333	Lái Thiêu	2717
292	Hòa Bình	2718
502	Đông Thạnh	2862
1330	Bình Hòa	2917
183	Vĩnh Hội	3302
445	Tân Nhựt	3354
195	Xóm Chiếu	3382
190	Khánh Hội	3969
483	Bà Điểm	3975
199	Chợ Quán	4081
335	Tam Bình	4228
381	Tân Hòa	4635
224	Phú Lâm	5077
436	Bình Hưng	5283
372	Tân Sơn Nhì	5316
1290	Đông Hòa	5491
282	Vườn Lài	5874
309	Tân Thới Hiệp	6092
314	Trung Mỹ Tây	6201
347	Hạnh Thông	6495
165	Cát Lái	6522
362	An Hội Đông	6760
342	Bình Trị Đông	6946
334	Linh Xuân	7023
327	Thủ Đức	7037
375	Tây Thạnh	7112
163	Bình Trưng	7123
1293	Dĩ An	7498
304	An Phú Đông	7499
157	Tân Định	7769
264	Long Trường	7796
313	Thới An	7844
369	Tân Phú	8069
261	Long Bình	8099
249	Bình Đông	8139
222	Bình Phú	8234
305	Đông Hưng Thuận	8354
169	Bàn Cờ	8449
390	Tân Sơn	8525
267	Phước Long	8556
278	Diên Hồng	8847
356	Gò Vấp	9111
270	Tăng Nhơn Phú	9262
354	Thông Tây Hội	9320
352	An Nhơn	9511
247	Chánh Hưng	9514
154	Cầu Ông Lãnh	9890
177	Nhiêu Lộc	10684
367	Phú Thạnh	10736
379	Tân Sơn Nhất	10750
426	Phú Nhuận	10756
328	Hiệp Bình	10891
422	Đức Nhuận	11047
20352	Nhà Bè	11197
20266	Xuân Hòa	11470
341	Bình Tân	11889
149	Bến Thành	11970
338	An Lạc	13146
391	Gia Định	13157
419	Cầu Kiệu	13363
146	Sài Gòn	13531
358	An Hội Tây	13576
402	Bình Thạnh	13640
385	Bảy Hiền	14261
242	Tân Thuận	14353
284	Hòa Hưng	14742
236	Phú Thuận	14742
388	Tân Bình	15098
368	Phú Thọ Hòa	15386
240	Tân Mỹ	15816
376	Tân Sơn Hòa	16178
339	Bình Hưng Hòa	18662
395	Bình Lợi Trung	20510
415	Thạnh Mỹ Tây	21409
158	An Khánh	31647
237	Tân Hưng	32927
