ward_id	ward_name	total_6m
158	An Khánh	12183
339	Bình Hưng Hòa	10646
237	Tân Hưng	9630
358	An Hội Tây	8121
338	An Lạc	7899
341	Bình Tân	7661
395	Bình Lợi Trung	7624
368	Phú Thọ Hòa	7478
328	Hiệp Bình	7226
415	Thạnh Mỹ Tây	7047
236	Phú Thuận	6914
385	Bảy Hiền	6509
20352	Nhà Bè	6352
247	Chánh Hưng	5875
367	Phú Thạnh	5848
313	Thới An	5818
284	Hòa Hưng	5676
242	Tân Thuận	5643
402	Bình Thạnh	5633
419	Cầu Kiệu	5550
354	Thông Tây Hội	5529
304	An Phú Đông	5491
388	Tân Bình	5402
240	Tân Mỹ	5349
270	Tăng Nhơn Phú	5342
391	Gia Định	5211
305	Đông Hưng Thuận	5185
376	Tân Sơn Hòa	5155
356	Gò Vấp	5087
249	Bình Đông	5064
352	An Nhơn	5017
342	Bình Trị Đông	4811
261	Long Bình	4808
422	Đức Nhuận	4766
267	Phước Long	4570
426	Phú Nhuận	4476
222	Bình Phú	4475
334	Linh Xuân	4399
177	Nhiêu Lộc	4362
146	Sài Gòn	4258
309	Tân Thới Hiệp	4252
375	Tây Thạnh	4198
436	Bình Hưng	4100
314	Trung Mỹ Tây	3913
362	An Hội Đông	3897
390	Tân Sơn	3893
264	Long Trường	3883
327	Thủ Đức	3756
379	Tân Sơn Nhất	3729
149	Bến Thành	3722
278	Diên Hồng	3677
369	Tân Phú	3622
347	Hạnh Thông	3533
20266	Xuân Hòa	3478
169	Bàn Cờ	3355
163	Bình Trưng	3349
165	Cát Lái	3171
372	Tân Sơn Nhì	3078
483	Bà Điểm	3005
154	Cầu Ông Lãnh	2996
224	Phú Lâm	2820
157	Tân Định	2768
282	Vườn Lài	2749
335	Tam Bình	2605
502	Đông Thạnh	2381
381	Tân Hòa	2201
445	Tân Nhựt	2188
190	Khánh Hội	2169
199	Chợ Quán	1917
1892	Vũng Tàu	1787
1290	Đông Hòa	1755
262	Long Phước	1724
470	Hiệp Phước	1660
492	Xuân Thới Sơn	1590
20351	Hóc Môn	1551
195	Xóm Chiếu	1476
290	Bình Thới	1445
1898	Tam Thắng	1394
462	Củ Chi	1386
292	Hòa Bình	1368
203	An Đông	1357
449	Tân Vĩnh Lộc	1338
257	Phú Định	1212
183	Vĩnh Hội	1206
1293	Dĩ An	1184
448	Vĩnh Lộc	1059
1322	Bình Dương	1052
209	Chợ Lớn	973
298	Phú Thọ	962
215	Bình Tây	911
1330	Bình Hòa	876
214	Bình Tiên	865
452	Bình Mỹ	810
20056	Tam Long	810
1333	Lái Thiêu	808
288	Minh Phụng	739
20349	Bình Chánh	738
1889	Rạch Dừa	694
20064	Long Điền	667
21525	Tân Tạo	657
466	Thái Mỹ	656
1912	Hồ Tràm	653
461	Tân An Hội	631
1880	Phú Mỹ	624
417	Bình Quới	570
1326	An Phú	563
478	Cần Giờ	549
1878	Tân Thành	535
439	Hưng Long	527
1916	Xuyên Mộc	526
437	Bình Lợi	479
1321	Phú Lợi	456
20085	Nghĩa Thành	453
20068	Trừ Văn Thố	444
1312	Vĩnh Tân	444
456	Phú Hòa Đông	442
1332	Thuận An	420
1877	Châu Pha	386
1274	Thới Hòa	386
476	An Thới Đông	357
7871	Ngãi Giao	348
454	Nhuận Đức	330
1936	Đất Đỏ	324
1334	Thuận Giao	322
1876	Bà Rịa	308
450	An Nhơn Tây	278
1313	Chánh Hiệp	270
1902	Phước Thắng	263
7869	Kim Long	248
1933	Phước Hải	247
1319	Thủ Dầu Một	235
1910	Hòa Hội	231
20069	Long Hải	227
1282	Minh Thạnh	200
1883	Tân Hải	198
1254	Tây Nam	187
1904	Bàu Lâm	165
477	Bình Khánh	165
1273	Bến Cát	155
1885	Tân Phước	146
20078	Long Nguyên	133
7858	Bình Giã	132
1870	Long Hương	131
1305	Bắc Tân Uyên	121
1905	Bình Châu	118
20460	Tân Hiệp	117
7885	Xuân Sơn	114
20081	Bàu Bàng	98
1909	Hòa Hiệp	95
1259	Chánh Phú Hòa	94
1304	Tân Khánh	84
1280	Long Hòa	83
1294	Bình Cơ	76
1346	Phước Hòa	72
1339	Phước Thành	71
1271	Phú An	67
20071	Tân Uyên	60
1307	Tân Đông Hiệp	57
20463	Dầu Tiếng	48
1338	An Long	47
1262	Hòa Lợi	46
1310	Thường Tân	35
7860	Châu Đức	33
1348	Phú Giáo	28
1887	Long Sơn	20
1285	Thanh An	3
482	Thạnh An	1
107	Côn Đảo	0
