province_id	province_name	total_uploaded
63	TP. Hồ Chí Minh	74053
1	TP. Hà Nội	25041
61	Đà Nẵng	4654
43	Đồng Nai	1846
12	Tây Ninh	1245
62	Cần Thơ	971
33	Khánh Hòa	1764
29	Lâm Đồng	716
60	Hải Phòng	1084
34	Hưng Yên	1025
46	Đắk Lắk	2687
4	Vĩnh Long	460
42	Đồng Tháp	734
54	Bắc Ninh	425
16	Quảng Ninh	545
21	Phú Thọ	502
59	An Giang	1141
23	Ninh Bình	301
8	TP Huế	226
41	Gia Lai	196
9	Thanh Hóa	1613
10	Thái Nguyên	231
17	Quảng Ngãi	76
24	Nghệ An	77
48	Cà Mau	287
15	Quảng Trị	41
38	Hà Tĩnh	9
27	Lào Cai	46
13	Sơn La	17
28	Lạng Sơn	25
5	Tuyên Quang	22
44	Điện Biên	1
30	Lai Châu	0
47	Cao Bằng	2
