province_id | province_name   | ward_id | ward_name               | data_full_count | data_no_full_count | total_count
------------+-----------------+---------+-------------------------+-----------------+--------------------+------------
1           | TP. Hà Nội      | 903     | An Khánh                | 1072            | 749                | 1821       
1           | TP. Hà Nội      | 759     | Ba Đình                 | 1608            | 1290               | 2898       
1           | TP. Hà Nội      | 807     | Ba Vì                   | 17              | 10                 | 27         
1           | TP. Hà Nội      | 709     | Bạch Mai                | 1633            | 1675               | 3308       
1           | TP. Hà Nội      | 829     | Bất Bạt                 | 46              | 37                 | 83         
1           | TP. Hà Nội      | 20363   | Bát Tràng               | 1022            | 1008               | 2030       
1           | TP. Hà Nội      | 1027    | Bình Minh               | 285             | 218                | 503        
1           | TP. Hà Nội      | 647     | Bồ Đề                   | 2205            | 1807               | 4012       
1           | TP. Hà Nội      | 680     | Cầu Giấy                | 4460            | 2916               | 7376       
1           | TP. Hà Nội      | 1047    | Chương Dương            | 36              | 32                 | 68         
1           | TP. Hà Nội      | 838     | Chương Mỹ               | 270             | 256                | 526        
1           | TP. Hà Nội      | 20374   | Chuyên Mỹ               | 9               | 5                  | 14         
1           | TP. Hà Nội      | 812     | Cổ Đô                   | 1               | 0                  | 1          
1           | TP. Hà Nội      | 769     | Cửa Nam                 | 650             | 385                | 1035       
1           | TP. Hà Nội      | 1031    | Dân Hòa                 | 16              | 13                 | 29         
1           | TP. Hà Nội      | 905     | Dương Hòa               | 23              | 13                 | 36         
1           | TP. Hà Nội      | 888     | Dương Nội               | 1816            | 1240               | 3056       
1           | TP. Hà Nội      | 20401   | Đa Phúc                 | 7               | 6                  | 13         
1           | TP. Hà Nội      | 514     | Đại Mỗ                  | 1528            | 1134               | 2662       
1           | TP. Hà Nội      | 554     | Đại Thanh               | 302             | 462                | 764        
1           | TP. Hà Nội      | 20037   | Đại Xuyên               | 20              | 10                 | 30         
1           | TP. Hà Nội      | 870     | Đan Phượng              | 48              | 32                 | 80         
1           | TP. Hà Nội      | 665     | Định Công               | 2533            | 2342               | 4875       
1           | TP. Hà Nội      | 990     | Đoài Phương             | 322             | 264                | 586        
1           | TP. Hà Nội      | 624     | Đông Anh                | 813             | 703                | 1516       
1           | TP. Hà Nội      | 742     | Đống Đa                 | 2358            | 1520               | 3878       
1           | TP. Hà Nội      | 515     | Đông Ngạc               | 949             | 946                | 1895       
1           | TP. Hà Nội      | 20357   | Gia Lâm                 | 152             | 80                 | 232        
1           | TP. Hà Nội      | 752     | Giảng Võ                | 885             | 571                | 1456       
