province_id | province_name   | ward_id | ward_name               | data_full_uploaded | data_no_full_uploaded | total_uploaded
------------+-----------------+---------+-------------------------+--------------------+-----------------------+---------------
1           | TP. Hà Nội      | 903     | An Khánh                | 10                 | 110                   | 120           
1           | TP. Hà Nội      | 759     | Ba Đình                 | 146                | 306                   | 452           
1           | TP. Hà Nội      | 807     | Ba Vì                   | 1                  | 2                     | 3             
1           | TP. Hà Nội      | 709     | Bạch Mai                | 244                | 697                   | 941           
1           | TP. Hà Nội      | 829     | Bất Bạt                 | 3                  | 3                     | 6             
1           | TP. Hà Nội      | 20363   | Bát Tràng               | 154                | 315                   | 469           
1           | TP. Hà Nội      | 1027    | Bình Minh               | 6                  | 42                    | 48            
1           | TP. Hà Nội      | 647     | Bồ Đề                   | 231                | 485                   | 716           
1           | TP. Hà Nội      | 680     | Cầu Giấy                | 310                | 624                   | 934           
1           | TP. Hà Nội      | 1047    | Chương Dương            | 1                  | 6                     | 7             
1           | TP. Hà Nội      | 838     | Chương Mỹ               | 4                  | 75                    | 79            
1           | TP. Hà Nội      | 20374   | Chuyên Mỹ               | 0                  | 2                     | 2             
1           | TP. Hà Nội      | 812     | Cổ Đô                   | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 769     | Cửa Nam                 | 51                 | 64                    | 115           
1           | TP. Hà Nội      | 1031    | Dân Hòa                 | 0                  | 3                     | 3             
1           | TP. Hà Nội      | 905     | Dương Hòa               | 0                  | 4                     | 4             
1           | TP. Hà Nội      | 888     | Dương Nội               | 81                 | 289                   | 370           
1           | TP. Hà Nội      | 20401   | Đa Phúc                 | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 514     | Đại Mỗ                  | 105                | 301                   | 406           
1           | TP. Hà Nội      | 554     | Đại Thanh               | 32                 | 172                   | 204           
1           | TP. Hà Nội      | 20037   | Đại Xuyên               | 0                  | 1                     | 1             
1           | TP. Hà Nội      | 870     | Đan Phượng              | 1                  | 6                     | 7             
1           | TP. Hà Nội      | 665     | Định Công               | 327                | 764                   | 1091          
1           | TP. Hà Nội      | 990     | Đoài Phương             | 8                  | 37                    | 45            
1           | TP. Hà Nội      | 624     | Đông Anh                | 13                 | 94                    | 107           
1           | TP. Hà Nội      | 742     | Đống Đa                 | 264                | 399                   | 663           
1           | TP. Hà Nội      | 515     | Đông Ngạc               | 41                 | 328                   | 369           
1           | TP. Hà Nội      | 20357   | Gia Lâm                 | 15                 | 15                    | 30            
1           | TP. Hà Nội      | 752     | Giảng Võ                | 82                 | 108                   | 190           
1           | TP. Hà Nội      | 1012    | Hạ Bằng                 | 26                 | 62                    | 88            
1           | TP. Hà Nội      | 897     | Hà Đông                 | 211                | 381                   | 592           
1           | TP. Hà Nội      | 714     | Hai Bà Trưng            | 39                 | 79                    | 118           
1           | TP. Hà Nội      | 946     | Hát Môn                 | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 1022    | Hòa Lạc                 | 3                  | 13                    | 16            
1           | TP. Hà Nội      | 839     | Hòa Phú                 | 0                  | 1                     | 1             
1           | TP. Hà Nội      | 1084    | Hòa Xá                  | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 919     | Hoài Đức                | 20                 | 110                   | 130           
1           | TP. Hà Nội      | 768     | Hoàn Kiếm               | 41                 | 37                    | 78            
1           | TP. Hà Nội      | 557     | Hoàng Liệt              | 60                 | 93                    | 153           
1           | TP. Hà Nội      | 670     | Hoàng Mai               | 105                | 538                   | 643           
1           | TP. Hà Nội      | 763     | Hồng Hà                 | 161                | 321                   | 482           
1           | TP. Hà Nội      | 931     | Hồng Sơn                | 1                  | 3                     | 4             
1           | TP. Hà Nội      | 1053    | Hồng Vân                | 0                  | 8                     | 8             
1           | TP. Hà Nội      | 969     | Hưng Đạo                | 0                  | 1                     | 1             
1           | TP. Hà Nội      | 935     | Hương Sơn               | 0                  | 3                     | 3             
1           | TP. Hà Nội      | 697     | Khương Đình             | 187                | 474                   | 661           
1           | TP. Hà Nội      | 890     | Kiến Hưng               | 4                  | 111                   | 115           
1           | TP. Hà Nội      | 968     | Kiều Phú                | 0                  | 1                     | 1             
1           | TP. Hà Nội      | 580     | Kim Anh                 | 1                  | 41                    | 42            
1           | TP. Hà Nội      | 731     | Kim Liên                | 54                 | 149                   | 203           
1           | TP. Hà Nội      | 733     | Láng                    | 28                 | 67                    | 95            
1           | TP. Hà Nội      | 878     | Liên Minh               | 1                  | 3                     | 4             
1           | TP. Hà Nội      | 674     | Lĩnh Nam                | 2                  | 31                    | 33            
1           | TP. Hà Nội      | 658     | Long Biên               | 15                 | 53                    | 68            
1           | TP. Hà Nội      | 788     | Mê Linh                 | 0                  | 18                    | 18            
1           | TP. Hà Nội      | 816     | Minh Châu               | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 928     | Mỹ Đức                  | 0                  | 5                     | 5             
1           | TP. Hà Nội      | 559     | Nam Phù                 | 5                  | 42                    | 47            
1           | TP. Hà Nội      | 683     | Nghĩa Đô                | 115                | 197                   | 312           
1           | TP. Hà Nội      | 762     | Ngọc Hà                 | 57                 | 89                    | 146           
1           | TP. Hà Nội      | 545     | Ngọc Hồi                | 1                  | 29                    | 30            
1           | TP. Hà Nội      | 575     | Nội Bài                 | 1                  | 25                    | 26            
