province_id	province_name	data_full_uploaded	data_no_full_uploaded	total_uploaded
63	TP. Hồ Chí Minh	22209	9	22218
1	TP. Hà Nội	54	14	68
61	Đà Nẵng	3	9	12
43	Đồng Nai	15595	4	15599
12	Tây Ninh	8518	6	8524
62	Cần Thơ	1	8	9
33	Khánh Hòa	8877	5	8882
29	Lâm Đồng	6908	16	6924
60	Hải Phòng	1	3	4
34	Hưng Yên	0	1	1
46	Đắk Lắk	2287	4	2291
4	Vĩnh Long	0	15	15
42	Đồng Tháp	1	10	11
54	Bắc Ninh	0	1	1
16	Quảng Ninh	0	0	0
21	Phú Thọ	0	2	2
59	An Giang	163	7	170
23	Ninh Bình	1	5	6
8	TP Huế	0	2	2
41	Gia Lai	2	11	13
9	Thanh Hóa	1119	3	1122
10	Thái Nguyên	1	0	1
17	Quảng Ngãi	0	2	2
24	Nghệ An	0	0	0
48	Cà Mau	170	2	172
15	Quảng Trị	0	4	4
38	Hà Tĩnh	0	3	3
27	Lào Cai	0	0	0
13	Sơn La	0	0	0
28	Lạng Sơn	0	0	0
5	Tuyên Quang	0	0	0
44	Điện Biên	0	0	0
30	Lai Châu	0	0	0
47	Cao Bằng	0	0	0

