province_id	province_name	data_full_uploaded	data_no_full_uploaded	total_uploaded
63	TP. Hồ Chí Minh	49797	197	49994
1	TP. Hà Nội	4028	10743	14771
61	Đà Nẵng	257	6887	7144
43	Đồng Nai	18214	3583	21797
12	Tây Ninh	10241	3226	13467
62	Cần Thơ	3287	2242	5529
33	Khánh Hòa	10059	544	10603
29	Lâm Đồng	7528	853	8381
60	Hải Phòng	9960	299	10259
34	Hưng Yên	5378	117	5495
46	Đắk Lắk	4936	429	5365
4	Vĩnh Long	1944	680	2624
42	Đồng Tháp	1266	550	1816
54	Bắc Ninh	2661	83	2744
16	Quảng Ninh	3635	40	3675
21	Phú Thọ	3691	112	3803
59	An Giang	232	341	573
23	Ninh Bình	776	125	901
8	TP Huế	3673	228	3901
41	Gia Lai	1206	253	1459
9	Thanh Hóa	1237	89	1326
10	Thái Nguyên	1468	13	1481
17	Quảng Ngãi	883	77	960
24	Nghệ An	1111	36	1147
48	Cà Mau	184	73	257
15	Quảng Trị	395	23	418
38	Hà Tĩnh	115	14	129
27	Lào Cai	258	8	266
13	Sơn La	93	1	94
28	Lạng Sơn	38	4	42
5	Tuyên Quang	43	4	47
44	Điện Biên	181	0	181
30	Lai Châu	6	0	6
47	Cao Bằng	8	0	8

