province_id	province_name	data_full_uploaded	data_no_full_uploaded	total_uploaded
63	TP. Hồ Chí Minh	58192	620	58812
1	TP. Hà Nội	4146	10851	14997
61	Đà Nẵng	260	6936	7196
43	Đồng Nai	18241	3603	21844
12	Tây Ninh	10283	3243	13526
62	Cần Thơ	3287	2269	5556
33	Khánh Hòa	10067	547	10614
29	Lâm Đồng	7536	888	8424
60	Hải Phòng	9960	307	10267
34	Hưng Yên	5378	214	5592
46	Đắk Lắk	4938	452	5390
4	Vĩnh Long	1945	729	2674
42	Đồng Tháp	1266	627	1893
54	Bắc Ninh	2661	86	2747
16	Quảng Ninh	3635	40	3675
21	Phú Thọ	3691	118	3809
59	An Giang	232	381	613
23	Ninh Bình	776	134	910
8	TP Huế	3674	232	3906
41	Gia Lai	1207	299	1506
9	Thanh Hóa	1237	91	1328
10	Thái Nguyên	1469	14	1483
17	Quảng Ngãi	883	86	969
24	Nghệ An	1111	37	1148
48	Cà Mau	184	86	270
15	Quảng Trị	395	25	420
38	Hà Tĩnh	115	18	133
27	Lào Cai	258	10	268
13	Sơn La	93	1	94
28	Lạng Sơn	38	4	42
5	Tuyên Quang	43	4	47
44	Điện Biên	181	0	181
30	Lai Châu	6	0	6
47	Cao Bằng	8	0	8
