province_id	province_name	data_full_uploaded	data_no_full_uploaded	total_uploaded
63	TP. Hồ Chí Minh	52930	18422	71352
1	TP. Hà Nội	14306	1875	16181
61	Đà Nẵng	5156	1167	6323
43	Đồng Nai	6619	506	7125
12	Tây Ninh	4946	127	5073
62	Cần Thơ	1579	282	1861
33	Khánh Hòa	2605	110	2715
29	Lâm Đồng	3161	123	3284
60	Hải Phòng	1255	52	1307
34	Hưng Yên	586	13	599
46	Đắk Lắk	1029	110	1139
4	Vĩnh Long	442	29	471
42	Đồng Tháp	338	16	354
54	Bắc Ninh	1391	3	1394
16	Quảng Ninh	1049	3	1052
21	Phú Thọ	670	3	673
59	An Giang	604	30	634
23	Ninh Bình	213	2	215
8	TP Huế	362	44	406
41	Gia Lai	707	11	718
9	Thanh Hóa	717	12	729
10	Thái Nguyên	280	1	281
17	Quảng Ngãi	648	10	658
24	Nghệ An	71	9	80
48	Cà Mau	50	9	59
15	Quảng Trị	375	3	378
38	Hà Tĩnh	20	1	21
27	Lào Cai	76	2	78
13	Sơn La	40	0	40
28	Lạng Sơn	24	0	24
5	Tuyên Quang	24	0	24
44	Điện Biên	4	0	4
30	Lai Châu	1	0	1
47	Cao Bằng	4	0	4
